,station_name,total_departures,latitude,longitude
1587,W 21 St & 6 Ave,128823,40.7417,-73.9942
1718,West St & Chambers St,123045,40.7175,-74.0132
495,Broadway & W 58 St,114040,40.767,-73.9817
286,6 Ave & W 33 St,106236,40.749,-73.9885
8,1 Ave & E 68 St,104685,40.765,-73.9582
461,Broadway & E 14 St,98656,40.7345,-73.9907
485,Broadway & W 25 St,98237,40.7429,-73.9892
1511,University Pl & E 14 St,96941,40.7348,-73.9921
463,Broadway & E 21 St,95533,40.7399,-73.9896
1603,W 31 St & 7 Ave,94035,40.7492,-73.9916
788,E 33 St & 1 Ave,90839,40.7432,-73.9745
590,Cleveland Pl & Spring St,90778,40.7221,-73.9972
29,12 Ave & W 40 St,90237,40.7609,-74.0028
287,6 Ave & W 34 St,89454,40.7496,-73.988
1719,West St & Liberty St,87480,40.7114,-74.0148
24,11 Ave & W 41 St,87437,40.7603,-73.9988
1105,Lafayette St & E 8 St,87325,40.7302,-73.991
562,Central Park S & 6 Ave,86777,40.7659,-73.9763
796,E 40 St & Park Ave,85451,40.7508,-73.9783
328,8 Ave & W 33 St,84864,40.7516,-73.9939
337,9 Ave & W 22 St,83466,40.7455,-74.002
1592,W 22 St & 10 Ave,82904,40.7469,-74.0045
965,Grand Army Plaza & Central Park S,80785,40.7644,-73.9737
329,8 Ave & W 38 St,79354,40.7546,-73.9918
327,8 Ave & W 31 St,77310,40.7506,-73.9947
324,8 Ave & W 16 St,76623,40.741,-74.0017
1624,W 41 St & 8 Ave,75405,40.7564,-73.99
316,7 Ave & Central Park South,75212,40.7667,-73.9791
486,Broadway & W 29 St,75100,40.7462,-73.9886
13,10 Ave & W 14 St,73894,40.742,-74.0083
1601,W 30 St & 10 Ave,73001,40.7527,-74.0024
740,E 16 St & 5 Ave,72642,40.7373,-73.9924
597,Clinton St & Grand St,72066,40.7156,-73.987
1628,W 43 St & 10 Ave,71826,40.7601,-73.9946
1559,W 15 St & 6 Ave,71090,40.738,-73.9964
2,1 Ave & E 18 St,70731,40.7338,-73.9805
1263,Norfolk St & Broome St,70516,40.7172,-73.988
1582,W 20 St & 10 Ave,70427,40.7457,-74.0051
339,9 Ave & W 45 St,70264,40.7602,-73.9913
9,1 Ave & E 78 St,69891,40.7714,-73.9535
612,Columbus Ave & W 72 St,69576,40.7771,-73.979
490,Broadway & W 41 St,69243,40.7551,-73.9866
242,5 Ave & E 72 St,69103,40.7728,-73.9669
1620,W 4 St & 7 Ave S,69008,40.734,-74.0029
1645,W 54 St & 11 Ave,68430,40.7683,-73.9926
7,1 Ave & E 62 St,68106,40.7612,-73.9609
47,2 Ave & E 29 St,67801,40.7417,-73.9781
1574,W 18 St & 6 Ave,67638,40.7397,-73.9946
986,Grand St & Elizabeth St,67458,40.7188,-73.996
1625,W 42 St & 6 Ave,67454,40.7549,-73.9846
1,1 Ave & E 16 St,67236,40.7322,-73.9817
567,Central Park West & W 72 St,67080,40.7758,-73.9762
396,Ave A & E 14 St,66900,40.7303,-73.9805
18,10 Ave & W 28 St,66879,40.7507,-74.0018
680,E 1 St & 1 Ave,66874,40.7234,-73.9886
579,Christopher St & Greenwich St,66651,40.7329,-74.0071
1598,W 26 St & 8 Ave,66647,40.7473,-73.9972
378,Amsterdam Ave & W 73 St,66507,40.7797,-73.9809
1759,Wythe Ave & Metropolitan Ave,66340,40.7169,-73.9632
