,day_type,start_hour,trip_count
0,Weekday,0,893.6769230769231
1,Weekday,1,472.24615384615385
2,Weekday,2,283.71923076923076
3,Weekday,3,182.3923076923077
4,Weekday,4,208.66153846153847
5,Weekday,5,655.3846153846154
6,Weekday,6,1954.05
7,Weekday,7,4000.65
8,Weekday,8,5856.2692307692305
9,Weekday,9,4457.192307692308
10,Weekday,10,3469.7115384615386
11,Weekday,11,3624.3
12,Weekday,12,4125.096153846154
13,Weekday,13,4415.180769230769
14,Weekday,14,4909.634615384615
15,Weekday,15,5510.573076923077
16,Weekday,16,6353.95
17,Weekday,17,8068.0
18,Weekday,18,7775.15
19,Weekday,19,5767.346153846154
20,Weekday,20,3997.6115384615387
21,Weekday,21,2934.3653846153848
22,Weekday,22,2404.2192307692308
23,Weekday,23,1740.426923076923
24,Weekend,0,1788.2952380952381
25,Weekend,1,1314.1333333333334
26,Weekend,2,928.8365384615385
27,Weekend,3,594.6476190476191
28,Weekend,4,384.8857142857143
29,Weekend,5,292.6
30,Weekend,6,602.2952380952381
31,Weekend,7,1115.5714285714287
32,Weekend,8,1921.2095238095237
33,Weekend,9,3067.1238095238095
34,Weekend,10,4212.7904761904765
35,Weekend,11,5096.361904761905
36,Weekend,12,5694.628571428571
37,Weekend,13,6010.847619047619
38,Weekend,14,6154.314285714286
39,Weekend,15,6203.666666666667
40,Weekend,16,6047.2095238095235
41,Weekend,17,5694.828571428571
42,Weekend,18,5186.847619047619
43,Weekend,19,4339.438095238095
44,Weekend,20,3216.9238095238097
45,Weekend,21,2435.390476190476
46,Weekend,22,2054.9333333333334
47,Weekend,23,1675.9809523809524
