,date,avgTemp,no_of_trips
0,2022-01-01,11.6,20428
20428,2022-01-02,11.4,43009
63437,2022-01-03,1.4,33189
96626,2022-01-04,-2.7,36842
133468,2022-01-05,3.2,34230
167698,2022-01-06,4.9,44787
212485,2022-01-07,0.7,17401
229886,2022-01-08,-2.5,24455
254341,2022-01-09,1.4,21479
275820,2022-01-10,1.6,34727
310547,2022-01-11,-5.4,26824
337371,2022-01-12,-1.9,40568
377939,2022-01-13,4.0,50572
428511,2022-01-14,4.8,45714
474225,2022-01-15,-6.7,22839
497064,2022-01-16,-8.0,20930
517994,2022-01-17,3.9,29084
547078,2022-01-18,1.8,42935
590013,2022-01-19,3.2,54011
644024,2022-01-20,5.1,33928
677952,2022-01-21,-6.0,33598
711550,2022-01-22,-5.9,31969
743519,2022-01-23,-0.7,32967
776486,2022-01-24,-0.2,41488
817974,2022-01-25,3.6,50692
868666,2022-01-26,-2.3,42005
910671,2022-01-27,-4.2,43830
954501,2022-01-28,0.1,34871
989372,2022-01-29,-4.8,2848
992220,2022-01-30,-7.1,9486
1001706,2022-01-31,-3.4,22349
1024055,2022-02-01,-1.7,29338
1053393,2022-02-02,2.3,41947
1095340,2022-02-03,6.4,26568
1121908,2022-02-04,5.8,20309
1142217,2022-02-05,-2.8,29638
1171855,2022-02-06,-4.8,28887
1200742,2022-02-07,0.5,30717
1231459,2022-02-08,4.1,51893
1283352,2022-02-09,2.8,56007
1339359,2022-02-10,6.3,61937
1401296,2022-02-11,8.6,64614
1465910,2022-02-12,11.8,68575
1534485,2022-02-13,2.8,20384
1554869,2022-02-14,-4.3,34198
1589067,2022-02-15,-4.7,40550
1629617,2022-02-16,1.6,53683
1683300,2022-02-17,11.6,67432
1750732,2022-02-18,9.9,47038
1797770,2022-02-19,0.1,32450
1830220,2022-02-20,-2.6,31051
1861271,2022-02-21,4.1,52366
1913637,2022-02-22,5.6,36459
1950096,2022-02-23,14.4,66325
2016421,2022-02-24,1.1,44725
2061146,2022-02-25,0.8,30412
2091558,2022-02-26,-1.1,41415
2132973,2022-02-27,2.4,42805
2175778,2022-02-28,0.8,45636
2221414,2022-03-01,2.6,56019
2277433,2022-03-02,7.7,67108
2344541,2022-03-03,5.6,55408
2399949,2022-03-04,-1.9,49704
2449653,2022-03-05,3.1,51358
2501011,2022-03-06,9.6,54531
2555542,2022-03-07,18.2,67882
2623424,2022-03-08,8.7,62178
2685602,2022-03-09,3.2,28088
2713690,2022-03-10,4.0,66071
2779761,2022-03-11,7.2,69316
2849077,2022-03-12,5.1,19628
2868705,2022-03-13,-2.3,30833
2899538,2022-03-14,5.3,63206
2962744,2022-03-15,11.6,78946
3041690,2022-03-16,13.6,81449
3123139,2022-03-17,8.2,50004
3173143,2022-03-18,13.9,92837
3265980,2022-03-19,13.1,77861
3343841,2022-03-20,14.3,65417
3409258,2022-03-21,10.4,73209
3482467,2022-03-22,10.7,75235
3557702,2022-03-23,7.2,60865
3618567,2022-03-24,5.7,45793
3664360,2022-03-25,9.6,74873
3739233,2022-03-26,10.4,62151
3801384,2022-03-27,5.9,45625
3847009,2022-03-28,-1.5,38135
3885144,2022-03-29,-1.2,48426
3933570,2022-03-30,2.6,61254
3994824,2022-03-31,9.9,72625
4067449,2022-04-01,13.1,68479
4135928,2022-04-02,7.2,73254
4209182,2022-04-03,7.0,37164
4246346,2022-04-04,7.6,68902
4315248,2022-04-05,9.7,72629
4387877,2022-04-06,8.6,48443
4436320,2022-04-07,9.1,35322
4471642,2022-04-08,12.8,88195
4559837,2022-04-09,11.4,67329
4627166,2022-04-10,8.6,57144
4684310,2022-04-11,8.8,75355
4759665,2022-04-12,13.4,93575
4853240,2022-04-13,15.4,98764
4952004,2022-04-14,16.3,90635
5042639,2022-04-15,15.7,99636
5142275,2022-04-16,15.7,82188
5224463,2022-04-17,8.3,54110
5278573,2022-04-18,7.9,55811
5334384,2022-04-19,7.6,58873
5393257,2022-04-20,9.4,85294
5478551,2022-04-21,10.6,77520
5556071,2022-04-22,14.6,97494
5653565,2022-04-23,13.3,94585
5748150,2022-04-24,12.8,83406
5831556,2022-04-25,10.4,72682
5904238,2022-04-26,11.5,74947
5979185,2022-04-27,11.6,82446
6061631,2022-04-28,8.2,78531
6140162,2022-04-29,10.4,87089
6227251,2022-04-30,12.9,101537
6328788,2022-05-01,13.6,94657
6423445,2022-05-02,12.1,54536
6477981,2022-05-03,12.4,92564
6570545,2022-05-04,12.0,79594
6650139,2022-05-05,17.2,110355
6760494,2022-05-06,14.8,35170
6795664,2022-05-07,10.0,20557
6816221,2022-05-08,10.4,62745
6878966,2022-05-09,13.5,93995
6972961,2022-05-10,15.4,104600
7077561,2022-05-11,16.1,107079
7184640,2022-05-12,17.1,110862
7295502,2022-05-13,16.0,95861
7391363,2022-05-14,17.9,79812
7471175,2022-05-15,18.8,108477
7579652,2022-05-16,20.4,79295
7658947,2022-05-17,19.7,117412
7776359,2022-05-18,17.8,117596
7893955,2022-05-19,15.5,90207
7984162,2022-05-20,15.4,85189
8069351,2022-05-21,21.2,115215
8184566,2022-05-22,27.8,103604
8288170,2022-05-23,21.0,101563
8389733,2022-05-24,17.4,104949
8494682,2022-05-25,16.2,114182
8608864,2022-05-26,16.4,111106
8719970,2022-05-27,20.2,89185
8809155,2022-05-28,20.4,82607
8891762,2022-05-29,20.7,101235
8992997,2022-05-30,23.3,100732
9093729,2022-05-31,28.3,100360
9194089,2022-06-01,17.8,88070
9282159,2022-06-02,20.3,98712
9380871,2022-06-03,19.5,120876
9501747,2022-06-04,21.9,127507
9629254,2022-06-05,20.0,115902
9745156,2022-06-06,22.2,110255
9855411,2022-06-07,21.8,103639
9959050,2022-06-08,23.7,123906
10082956,2022-06-09,24.4,115009
10197965,2022-06-10,21.8,122508
10320473,2022-06-11,21.8,115603
10436076,2022-06-12,20.5,90287
10526363,2022-06-13,24.2,111525
10637888,2022-06-14,23.9,123640
10761528,2022-06-15,23.3,127915
10889443,2022-06-16,20.3,102031
10991474,2022-06-17,25.2,119656
11111130,2022-06-18,21.7,108577
11219707,2022-06-19,17.3,105636
11325343,2022-06-20,20.5,114193
11439536,2022-06-21,22.1,99400
11538936,2022-06-22,19.1,94428
11633364,2022-06-23,19.2,117321
11750685,2022-06-24,21.9,124257
11874942,2022-06-25,25.8,118493
11993435,2022-06-26,27.0,106089
12099524,2022-06-27,24.3,79616
12179140,2022-06-28,22.4,121346
12300486,2022-06-29,23.9,121539
12422025,2022-06-30,25.4,116209
12538234,2022-07-01,28.1,103432
12641666,2022-07-02,28.7,88943
12730609,2022-07-03,26.9,89364
12819973,2022-07-04,25.6,94692
12914665,2022-07-05,25.9,88946
13003611,2022-07-06,26.0,112874
13116485,2022-07-07,24.2,114752
13231237,2022-07-08,23.5,98312
13329549,2022-07-09,24.7,123237
13452786,2022-07-10,23.4,115594
13568380,2022-07-11,24.0,111362
13679742,2022-07-12,25.8,111767
13791509,2022-07-13,28.9,120853
13912362,2022-07-14,26.6,120450
14032812,2022-07-15,26.1,119355
14152167,2022-07-16,24.3,111650
